	genome_id	genome_name	accession	annotation	feature_type	gene_id	start	end	strand	na_length	gene	product	ec	refseq_locus_tag
1263	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00632	679390	680019	+	629		hypothetical protein		1280pt3350_00632
1265	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00633	680472	681101	+	629		hypothetical protein		1280pt3350_00633
1267	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00634	681225	681866	+	641		hypothetical protein		1280pt3350_00634
1269	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00635	681903	682538	+	635		hypothetical protein		1280pt3350_00635
1271	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00636	682504	682749	+	245		hypothetical protein		1280pt3350_00636
1273	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00637	682773	683399	+	626		hypothetical protein		1280pt3350_00637
1275	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00638	683669	684607	+	938	iolS	Aldo-keto reductase IolS	1.1.1.-	1280pt3350_00638
1277	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00639	684818	685354	+	536	ywqN_2	Putative NAD(P)H-dependent FMN-containing oxidoreductase YwqN	1.-.-.-	1280pt3350_00639
1279	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00640	685523	685999	+	476		hypothetical protein		1280pt3350_00640
1281	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00641	686039	687334	+	1295		hypothetical protein		1280pt3350_00641
1283	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00642	687377	687883	+	506		hypothetical protein		1280pt3350_00642
1285	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00643	688382	689392	+	1010	adh	Alcohol dehydrogenase	1.1.1.1	1280pt3350_00643
1287	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00644	689467	689574	+	107		hypothetical protein		1280pt3350_00644
1289	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00645	689667	690083	+	416	ywiB	putative beta-barrel protein YwiB		1280pt3350_00645
1291	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00646	690080	691741	+	1661	argS	Arginine--tRNA ligase	6.1.1.19	1280pt3350_00646
1293	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00647	692130	692765	+	635	nth_1	Endonuclease III	4.2.99.18	1280pt3350_00647
1295	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00648	693144	694031	+	887	btuF	Vitamin B12-binding protein		1280pt3350_00648
1297	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00649	694143	695129	+	986		putative ABC transporter permease protein		1280pt3350_00649
1299	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00650	695184	695903	+	719	hdl IVa	(S)-2-haloacid dehalogenase 4A	3.8.1.2	1280pt3350_00650
1301	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00651	695887	696687	+	800		putative protein		1280pt3350_00651
1303	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00652	696823	697329	+	506		hypothetical protein		1280pt3350_00652
1305	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00653	697491	698207	+	716		hypothetical protein		1280pt3350_00653
1307	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00654	698376	699164	+	788	pip	Proline iminopeptidase	3.4.11.5	1280pt3350_00654
1309	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00655	699789	699415	-	374	sarA	Transcriptional regulator SarA		1280pt3350_00655
1311	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00656	701666	700737	-	929		hypothetical protein		1280pt3350_00656
1313	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00657	702085	701861	-	224		hypothetical protein		1280pt3350_00657
1315	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00658	702305	702102	-	203		hypothetical protein		1280pt3350_00658
1317	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00659	702464	703024	+	560	xerD_1	Tyrosine recombinase XerD		1280pt3350_00659
1319	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00660	703043	705445	+	2402	mrpA	Na(+)/H(+) antiporter subunit A		1280pt3350_00660
1321	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00661	705432	705857	+	425	mrpB	Na(+)/H(+) antiporter subunit B		1280pt3350_00661
1323	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00662	705854	706198	+	344	mrpC	Na(+)/H(+) antiporter subunit C		1280pt3350_00662
1325	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00663	706188	707684	+	1496	mnhD1_1	Na(+)/H(+) antiporter subunit D1		1280pt3350_00663
1327	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00664	707685	708167	+	482	mrpE	Na(+)/H(+) antiporter subunit E		1280pt3350_00664
1329	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00665	708164	708466	+	302	mrpF	Na(+)/H(+) antiporter subunit F		1280pt3350_00665
1331	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00666	708441	708878	+	437		hypothetical protein		1280pt3350_00666
1333	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00667	709218	711260	+	2042	nhaK_1	Sodium, potassium, lithium and rubidium/H(+) antiporter		1280pt3350_00667
1335	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00668	713349	712420	-	929	mntA	Manganese-binding lipoprotein MntA		1280pt3350_00668
1337	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00669	714182	713346	-	836	mntB_1	Manganese transport system membrane protein MntB		1280pt3350_00669
1339	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00670	714919	714176	-	743	mntB_2	Manganese transport system ATP-binding protein MntB		1280pt3350_00670
1341	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00671	715041	715685	+	644	mntR	HTH-type transcriptional regulator MntR		1280pt3350_00671
1343	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00672	716517	715765	-	752		hypothetical protein		1280pt3350_00672
1345	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00673	716753	717517	+	764	tarA	N-acetylglucosaminyldiphosphoundecaprenol N-acetyl-beta-D-mannosaminyltransferase	2.4.1.187	1280pt3350_00673
1347	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00674	718372	717578	-	794	tagH_1	Teichoic acids export ATP-binding protein TagH	7.5.2.4	1280pt3350_00674
1349	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00675	718719	719531	+	812	tagG	Teichoic acid translocation permease protein TagG		1280pt3350_00675
1351	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00676	719630	720733	+	1103	tarB	Teichoic acid glycerol-phosphate primase	2.7.8.44	1280pt3350_00676
1353	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00677	720730	721791	+	1061	tagX	Putative glycosyltransferase TagX	2.4.-.-	1280pt3350_00677
1355	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00678	721854	722252	+	398	tarD	Glycerol-3-phosphate cytidylyltransferase	2.7.7.39	1280pt3350_00678
1357	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00679	723664	722369	-	1295		hypothetical protein		1280pt3350_00679
1359	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00680	724085	725812	+	1727	bmrA	Multidrug resistance ABC transporter ATP-binding/permease protein BmrA	3.6.3.-	1280pt3350_00680
1361	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00681	726171	727400	+	1229	nupG	Purine nucleoside transport protein NupG		1280pt3350_00681
1363	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00682	727925	728758	+	833		hypothetical protein		1280pt3350_00682
1365	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00683	729040	729837	+	797	fepC	Ferric enterobactin transport ATP-binding protein FepC		1280pt3350_00683
1367	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00684	729873	730877	+	1004	feuB	Iron-uptake system permease protein FeuB		1280pt3350_00684
1369	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00685	730874	731890	+	1016	feuC	Iron-uptake system permease protein FeuC		1280pt3350_00685
1371	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00686	732124	733092	+	968	dhaK	PTS-dependent dihydroxyacetone kinase, dihydroxyacetone-binding subunit DhaK	2.7.1.121	1280pt3350_00686
1373	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00687	733134	733718	+	584	dhaL	PTS-dependent dihydroxyacetone kinase, ADP-binding subunit DhaL	2.7.1.121	1280pt3350_00687
1375	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00688	733711	734073	+	362	dhaM	PTS-dependent dihydroxyacetone kinase, phosphotransferase subunit DhaM	2.7.1.121	1280pt3350_00688
1377	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00689	734189	734686	+	497		hypothetical protein		1280pt3350_00689
1379	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00690	735142	736209	+	1067		hypothetical protein		1280pt3350_00690
1381	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00691	736360	737403	+	1043	aes	Acetyl esterase	3.1.1.-	1280pt3350_00691
1383	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00692	737732	738160	+	428		hypothetical protein		1280pt3350_00692
1385	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00693	738875	738369	-	506		hypothetical protein		1280pt3350_00693
1387	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00694	738988	739911	+	923		hypothetical protein		1280pt3350_00694
1389	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00695	739927	740601	+	674	graR_1	Response regulator protein GraR		1280pt3350_00695
1391	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00696	740594	741634	+	1040	graS_1	Sensor histidine kinase GraS	2.7.13.3	1280pt3350_00696
1393	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00697	741778	742539	+	761	bceA_1	Bacitracin export ATP-binding protein BceA		1280pt3350_00697
1395	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00698	742529	744418	+	1889	bceB_1	Bacitracin export permease protein BceB		1280pt3350_00698
1397	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00699	745143	745760	+	617		hypothetical protein		1280pt3350_00699
1399	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00700	745776	746783	+	1007		hypothetical protein		1280pt3350_00700
1401	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00701	748168	747371	-	797		putative autolysin SsaALP	3.5.1.28	1280pt3350_00701
1403	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00702	748529	749173	+	644		hypothetical protein		1280pt3350_00702
1405	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00703	749870	752020	+	2150	rhaR_2	HTH-type transcriptional activator RhaR		1280pt3350_00703
1407	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00704	752100	752525	+	425	sarX	HTH-type transcriptional regulator SarX		1280pt3350_00704
1409	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00705	752715	753431	+	716		putative transcriptional regulatory protein		1280pt3350_00705
1411	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00706	753431	753904	+	473		hypothetical protein		1280pt3350_00706
1413	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00707	754257	754901	+	644		hypothetical protein		1280pt3350_00707
1415	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00708	755017	755883	+	866	hdfR_2	HTH-type transcriptional regulator HdfR		1280pt3350_00708
1417	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00709	756222	757442	+	1220	setC	Sugar efflux transporter C		1280pt3350_00709
1419	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00710	757439	757927	+	488		hypothetical protein		1280pt3350_00710
1421	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00711	758715	758026	-	689		hypothetical protein		1280pt3350_00711
1423	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00712	758842	759285	+	443		hypothetical protein		1280pt3350_00712
1425	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00713	759352	759747	+	395		hypothetical protein		1280pt3350_00713
1427	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00714	759885	760184	+	299		hypothetical protein		1280pt3350_00714
1429	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00715	760264	760806	+	542		Acetyltransferase	2.3.1.-	1280pt3350_00715
1431	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00716	761468	760902	-	566		Putative cytokinin riboside 5'-monophosphate phosphoribohydrolase	3.2.2.-	1280pt3350_00716
1433	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00717	761928	761470	-	458		hypothetical protein		1280pt3350_00717
1435	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00718	762614	761931	-	683		hypothetical protein		1280pt3350_00718
1437	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00719	763661	762786	-	875	uppP	Undecaprenyl-diphosphatase	3.6.1.27	1280pt3350_00719
1439	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00720	763880	765511	+	1631	cydD	ATP-binding/permease protein CydD		1280pt3350_00720
1441	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00721	765508	767181	+	1673		Putative multidrug export ATP-binding/permease protein	3.6.3.-	1280pt3350_00721
1443	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00722	767751	767308	-	443	mgrA	HTH-type transcriptional regulator MgrA		1280pt3350_00722
1445	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00723	767978	768904	+	926	yciC_2	Putative metal chaperone YciC		1280pt3350_00723
1447	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00724	769007	769915	+	908	ydhF	Oxidoreductase YdhF	1.-.-.-	1280pt3350_00724
1449	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00725	769950	770237	+	287		hypothetical protein		1280pt3350_00725
1451	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00726	770520	772073	+	1553		hypothetical protein		1280pt3350_00726
1453	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00727	772159	773532	+	1373	phrB	Deoxyribodipyrimidine photo-lyase	4.1.99.3	1280pt3350_00727
1455	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00728	773971	773687	-	284		hypothetical protein		1280pt3350_00728
1457	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00729	774585	773968	-	617		hypothetical protein		1280pt3350_00729
1459	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00730	775193	774771	-	422		hypothetical protein		1280pt3350_00730
1461	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00731	775402	776568	+	1166	tetA	Tetracycline resistance protein, class B		1280pt3350_00731
1463	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00732	776849	777313	+	464		hypothetical protein		1280pt3350_00732
1465	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00733	777487	777969	+	482	ybaK	Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase YbaK	4.2.-.-	1280pt3350_00733
1467	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00734	778219	778983	+	764	ydjF	putative HTH-type transcriptional regulator YdjF		1280pt3350_00734
1469	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00735	778980	779900	+	920	lacC_1	Tagatose-6-phosphate kinase	2.7.1.144	1280pt3350_00735
1471	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00736	779906	781426	+	1520	fruA	PTS system fructose-specific EIIABC component		1280pt3350_00736
1473	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00737	781423	781863	+	440		hypothetical protein		1280pt3350_00737
1475	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00738	782171	783352	+	1181	nagA	N-acetylglucosamine-6-phosphate deacetylase	3.5.1.25	1280pt3350_00738
1477	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00739	783573	784922	+	1349		hypothetical protein		1280pt3350_00739
1479	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00740	785144	785983	+	839		putative oxidoreductase/MSMEI_2347	1.-.-.-	1280pt3350_00740
1481	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00741	786115	787098	+	983	csbB	Putative glycosyltransferase CsbB	2.4.-.-	1280pt3350_00741
1483	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00742	788225	787170	-	1055	saeS	Histidine protein kinase SaeS	2.7.13.3	1280pt3350_00742
1485	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00743	788911	788225	-	686	saeR	Response regulator SaeR		1280pt3350_00743
1487	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00744	789359	788886	-	473		hypothetical protein		1280pt3350_00744
1489	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00745	790141	789701	-	440		hypothetical protein		1280pt3350_00745
1491	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00746	791005	790421	-	584		hypothetical protein		1280pt3350_00746
1493	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00747	791817	791104	-	713	queE	7-carboxy-7-deazaguanine synthase	4.3.99.3	1280pt3350_00747
1495	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00748	792240	791821	-	419	queD	6-carboxy-5,6,7,8-tetrahydropterin synthase	4.1.2.50	1280pt3350_00748
1497	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00749	792910	792242	-	668	queC	7-cyano-7-deazaguanine synthase	6.3.4.20	1280pt3350_00749
1499	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00750	793261	793854	+	593	trpG_1	Anthranilate synthase component 2	4.1.3.27	1280pt3350_00750
1501	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00751	793838	794989	+	1151	menF	Isochorismate synthase MenF	5.4.4.2	1280pt3350_00751
1503	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00752	794989	795597	+	608		hypothetical protein		1280pt3350_00752
1505	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00753	795957	796667	+	710	pxpB_1	5-oxoprolinase subunit B	3.5.2.9	1280pt3350_00753
1507	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00754	796651	797655	+	1004	pxpC_1	5-oxoprolinase subunit C	3.5.2.9	1280pt3350_00754
1509	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00755	798129	800069	+	1940	ltaS	Lipoteichoic acid synthase		1280pt3350_00755
1511	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00756	800346	802223	+	1877	ettA	Energy-dependent translational throttle protein EttA		1280pt3350_00756
1513	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00757	802235	804016	+	1781	recQ_1	ATP-dependent DNA helicase RecQ	3.6.4.12	1280pt3350_00757
1515	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00758	804238	805215	+	977	btuD_2	Vitamin B12 import ATP-binding protein BtuD	7.6.2.8	1280pt3350_00758
1517	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00759	805208	806722	+	1514		hypothetical protein		1280pt3350_00759
1519	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00760	806962	808020	+	1058	hisC_1	Histidinol-phosphate aminotransferase	2.6.1.9	1280pt3350_00760
1521	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00761	808371	808913	+	542		Putative 5'(3')-deoxyribonucleotidase	3.1.3.-	1280pt3350_00761
1523	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00762	810509	809592	-	917		Putative lipid kinase	2.7.1.-	1280pt3350_00762
1525	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00763	812284	810779	-	1505	dtpT	Di-/tripeptide transporter		1280pt3350_00763
1527	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00764	813125	812625	-	500	queF	NADPH-dependent 7-cyano-7-deazaguanine reductase	1.7.1.13	1280pt3350_00764
1529	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00765	814011	813145	-	866	cntI	Pseudopaline exporter CntI		1280pt3350_00765
1531	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00766	814812	815210	+	398	nrdI	Protein NrdI		1280pt3350_00766
1533	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00767	815173	817278	+	2105	nrdE	Ribonucleoside-diphosphate reductase subunit alpha	1.17.4.1	1280pt3350_00767
1535	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00768	817396	818367	+	971	nrdF	Ribonucleoside-diphosphate reductase subunit beta	1.17.4.1	1280pt3350_00768
1537	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00769	819033	820046	+	1013	yclN	Petrobactin import system permease protein YclN		1280pt3350_00769
1539	1280pt3350	1280pt3350	1280pt3350_gnl|P21|1280pt3350_1	PROKKA	CDS	1280pt3350_00770	820033	820989	+	956	yclO	Petrobactin import system permease protein YclO		1280pt3350_00770
